# expandmorphsegmentations.pl, Mon May  1 11:09:58 2017
# Working dir: /home/ddubois/PycharmProjects/voynich-translation
# Input file: viterbitagsplit2.iii.tagged.gz.tmp
# -full: OFF
# -showstruct: OFF
2 xkok/STM
1 testing/STM
1 कर/STM + क/STM
1 अवतण/STM
3 factor/STM
2 कम/STM + ल/STM
1 औ/STM
1 २००२/STM
8 rqY/STM
1 Psycho/STM + metrics/STM
1 आफ/STM
4 कठ/STM
1 अवतरण/STM
4 nks/STM
2 vkSJ/STM
2 xkjksa/STM
1 ८००/STM
1 ळ/STM
12 गण/STM
1 1971/STM
1 physio/STM + logical/STM
2 folqfo/STM
2 xSlsa/STM
1 हलचल/STM
1 method/STM
4 5/STM
3 1965/STM
6 अत/STM
2 pkjksa/STM
1 science/STM
9 ७/STM
1 बस/STM
22 xkj/STM
25 अल/STM + ग/STM
8 तव/STM
1 primates/STM
1 abil/STM + ities/STM
1 Freedom/STM
1 body/STM
1 Carl/STM
1 १०२१/STM
1 media/STM + tional/STM
2 teus/STM
1 four/STM
24 गए/STM
2 द/STM
4 ईश/STM
1 आय/STM
1 transcrani/STM + al/SUF
2 blfy/STM
1 Book/STM
4 lkxj/STM
2 80/STM
1 Soci/STM + al/SUF
10 सब/STM
2 igqap/STM
4 HkwdEi/STM
1 Søren/STM
2 अ/STM
2 cydsfu/STM
1 psycho/STM + logists/STM
1 magnetic/STM
8 Hksnu/STM
1 हई/STM
1 अवगत/STM
1 6/STM
4 QwyxksHkh/STM
13 जन/STM
1 ISBN/STM
2 1883/STM
2 vR/STM
1 Hans/STM
1 stress/STM
1 1780/STM
8 Hinduism/STM
1 aging/STM
1 Eysenck/STM
8 ehy/STM
2 १९/STM + ११/STM
2 xbZA/STM
6 ckn/STM
2 gksxhA/STM
4 kr/STM
4 Hksnsnsnu/STM
2 १९/STM + ९/STM + १/STM
2 गहन/STM
1 हवन/STM
1 मद/STM
1 चल/STM
1 लय/STM
2 dj/STM
2 उल/STM
4 भर/STM
2 vU/STM
2 izdV/STM
2 फल/STM
1 meme/STM
3 दशक/STM
1 ओणम/STM
2 नरक/STM
1 रह/STM + कर/STM
1 घ/STM
2 Foundation/STM
6 उप/STM
1 १८५७/STM
2 organiza/STM + tional/STM
2 १९/STM + ५/STM + ०/STM
7 ५/STM
3 कह/STM
2 bVyh/STM
1 bio/STM + psycho/STM + social/STM
2 njkj/STM
2 1832/STM
2 tkok/STM
2 तहत/STM
7 पर/STM + म/STM
23 2/STM
1 वश/STM
2 १८७९/STM
4 100/STM
1 process/STM + ing/STM
2 Wisdom/STM
1 communication/STM
8 मत/STM + लब/STM
2 chp/STM
1 reason/STM + ing/STM
4 lqek/STM
13 २/STM
8 अरब/STM
4 iorZ/STM
2 fDr/STM
2 tyMe/STM
2 mn/STM + Hksnsnsnu/STM
1 श/STM + मन/STM
1 च/STM + ल/STM + कर/STM
4 gksus/STM
1 hypotheses/STM
2 fly/STM
2 jgrk/STM
28 dk/STM
1 सद/STM
2 kfu/STM
1 पतन/STM
1 इतर/STM
3 कप/STM
2 social/STM
1 ढ/STM
1 1779/STM
1 मच/STM
2 ftlds/STM
1 १८७५/STM
1 extraversion/STM
1 postpositions/STM
7 जगत/STM
2 vkLVªsfy/STM
1 myth/STM
2 y/STM
1 आगमन/STM
2 tkx/STM
2 1961/STM
2 ftuls/STM
2 Makes/STM
2 kj/STM
1 ९४०/STM
2 Mkbd/STM
2 lewg/STM
2 आदम/STM
1 Specialist/STM
10 bls/STM
1 stereotype/STM
2 ØkdkVksvk/STM
2 V/STM
1 1851/STM
4 LFkku/STM
1 Greece/STM
1 dynamic/STM
1 अतएव/STM
3 ऐ/STM
2 5oka/STM
2 iBkj/STM
2 नव/STM
1 १७००/STM
2 curs/STM
4 fo/STM
4 xSlksa/STM
17 3/STM
2 dqN/STM
1 २००९/STM
2 अ/STM + स/STM + फल/STM
19 psycho/STM + logy/STM
1 एस/STM
126 यह/STM
2 kurk/STM
3 भवन/STM
1 structure/STM
2 70/STM
1 psycho/STM + metrics/STM
2 fQyhikbu/STM
1 Field/STM
14 tkrk/STM
4 kkUr/STM
2 ioZr/STM
1 अनत/STM
2 izlqIr/STM
1 ७७/STM
1 १७९/STM
1 Lewis/STM
5 वचन/STM
2 a/STM
2 lcls/STM
2 rsgSA/STM
4 आज/STM + क/STM + ल/STM
1 तट/STM
1 population/STM
2 uked/STM
4 kjkry/STM
1 Mendelian/STM
3 आठ/STM
1 neuro/STM + logical/STM
2 भय/STM
2 vksj/STM
2 oydSuSuSuks/STM
1 रह/STM
1 vs/STM
2 उपनयन/STM
2 हय/STM
8 vkdkj/STM
1 जन/STM + क/STM
1 Psycho/STM + logists/STM
2 उन/STM + पर/STM
2 igqpa/STM
1 Comparative/STM
2 १६४२/STM
10 adj/STM
1 2011/STM
4 gSaA/STM
1 Rollo/STM
1 nomo/STM + logical/STM
4 njkjh/STM
463 और/STM
16 dh/STM
1 ह/STM + ट/STM + कर/STM
1 Philosophy/STM
11 ओर/STM
1 Ψυχολογία/STM
2 vkkkj/STM
14 x/STM
4 mnxkj/STM
116 इस/STM
1 ६५००/STM
2 1710/STM
2 tkdj/STM
36 mn/STM
4 xksy/STM
1 industry/STM
1 socio/STM + logy/STM
2 iryk/STM
1 etho/STM + logical/STM
8 rhozrk/STM
1 taboo/STM
2 Aspects/STM
1 existenti/STM + al/SUF
1 function/STM + al/SUF
7 १०/STM
2 ladjh/STM
21 व/STM
16 q/STM
1 म/STM + हम/STM + द/STM
1 neuro/STM + ticism/STM
1 मदन/STM
2 उप/STM + कर/STM + ण/STM
1 1806/STM
2 egksn/STM
4 tks/STM
1 1863/STM
2 Industrial/STM
1 आब/STM
1 stimulation/STM
1 गगन/STM
2 fHkUu/STM
2 kl/STM
2 50/STM
1 1859/STM
1 therapy/STM
2 izd/STM
1 Five/STM
2 ३०/STM
1 7/STM
6 r/STM
2 iSekus/STM
2 178/STM
1 २६५/STM
188 पर/STM
1 neuroimaging/STM
2 LVªksEcksyh/STM
2 vuqlkj/STM
2 ऊपर5/STM
1 Counsel/STM + ing/STM
2 vaxaxax/STM
2 VªEcksyh/STM
6 tek/STM
1 Press/STM
1 ११/STM
18 ls/STM
1 Wundt/STM
1 74/STM
1 Persian/STM
4 fpifpik/STM
2 dkSulh/STM
2 Critical/STM
2 ØsVj/STM
2 fudyrh/STM
54 gSA/STM
1 baahr/STM
2 10/STM
8 kA/STM
1 human/STM + ities/STM
2 bruk/STM
3 बल/STM
4 vojks/STM
17 उन/STM
2 LFkykd/STM
2 iqu/STM
7 हर/STM
1 cultur/STM + al/SUF
1 9/STM
1 implicit/STM
2 inter/STM + per/STM + sonal/STM
1 rebirth/STM + ing/STM
4 mls/STM
1 २००४/STM
4 gksdj/STM
2 १२/STM
1 inter/STM + pretation/STM
2 foLrkj/STM
2 lgkjs/STM
1 period/STM
1 18/STM
1 सकल/STM
2 eq/STM
1 मय/STM
1 1887/STM
2 1957/STM
18 gksrk/STM
1 reparent/STM + ing/STM
1 ८०/STM
21 त/STM + रह/STM
8 e/STM
1 academic/STM
2 lEcfU/STM
12 u/STM
1 acquisition/STM
2 dks/STM
1 neuro/STM + linguistic/STM
2 any/STM
1 अटकल/STM
1 गठन/STM
12 ÅapkbZ/STM
3 चयन/STM
1 भर/STM + त/STM
6 de/STM
10 xSl/STM
3 न/STM + मन/STM
1 र/STM + ख/STM + कर/STM
2 nwjh/STM
2 neuro/STM + science/STM
1 Therapy/STM
1 1831/STM
1 सरन/STM
2 mRrj/STM
2 वजह/STM
1 १९/STM + ७/STM + २/STM
1 आव/STM
1 ङ/STM
2 kwy/STM
1 १९/STM + ७/STM + ५/STM
1 Πέρσις/STM
2 fØ/STM
2 1821/STM
24 तक/STM
11 i/STM
1 evolution/STM
14 oa/STM
2 सम/STM + झ/STM
1 law/STM
1 development/STM + al/SUF
1 ४००/STM
3 औसत/STM
1 de/STM + ductive/STM
1 रख/STM
2 ed/STM + uca/STM + tional/STM
1 122/STM
2 नर/STM
5 बदल/STM
2 attitudes/STM
2 What/STM
8 dHkh/STM
3 anim/STM + al/SUF
10 dgrs/STM
1 द/STM + मन/STM
1 Thought/STM
1 12/STM
2 xqEcn/STM
2 njkjksa/STM
2 1962/STM
1 अटल/STM
1 १७२७/STM
1 voca/STM + tional/STM
1 history/STM
16 rFkk/STM
1 रस/STM
2 Univers/STM + al/SUF
4 rks/STM
2 Hkwe/STM
2 व/STM + जन/STM
2 webpage/STM
1 an/STM + al/SUF + ytic/STM + al/SUF
1 statistic/STM + al/SUF
1 40/STM
1 ऑसनस/STM
1 mor/STM + al/SUF
5 आचरण/STM
1 यम/STM
1 १९/STM
1 1847/STM
60 kh/STM
4 budk/STM
1 १३/STM
4 is/STM
2 नगर/STM
9 अब/STM
2 Nk/STM
16 हम/STM
2 prob/STM + ability/STM
1 Univers/STM + ity/STM
1 १५०/STM
16 vf/STM
16 गई/STM
1 1932/STM
1 media/STM
1 08/STM
6 १०/STM + ८/STM
2 effect/STM
1 छह/STM
1 Memetics/STM
1 81/STM
2 es/STM
1 perception/STM
1 function/STM
2 The/STM
2 fLFkfr/STM
2 vkokt/STM
